Data;NDVI
2015-01-01;0.6661978500355367
2015-01-17;0.7103852345415779
2015-02-02;0.7435058092023452
2015-02-18;0.8311684846331501
2015-03-06;0.7763752709184583
2015-03-22;0.8373628708473977
2015-04-07;0.8319798543258131
2015-04-23;0.8148782021673476
2015-05-09;0.8292705986853794
2015-05-25;0.4839428850595135
2015-06-10;0.8033871202700305
2015-06-26;0.7886100906022387
2015-07-12;0.7536548232368095
2015-07-28;0.8193221353704033
2015-08-13;0.7402988275004445
2015-08-29;0.618852282821105
2015-09-14;0.497465748800853
2015-09-30;0.43712485343755564
2015-10-16;0.3984838692485344
2015-11-01;0.3701283582089553
2015-11-17;0.36420813788201845
2015-12-03;0.35983772646536427
2015-12-19;0.5679987033747782
2016-01-01;0.675750355366027
2016-01-17;0.8475125266524521
2016-02-02;0.8505771895540952
2016-02-18;0.647552140699947
2016-03-05;0.6103193640078167
2016-03-21;0.7110507194883641
2016-04-06;0.8469157932137148
2016-04-22;0.8330898205720377
2016-05-08;0.8318503464203234
2016-05-24;0.6339416414993782
2016-06-09;0.6500640433469534
2016-06-25;0.5011335583585008
2016-07-11;0.4846130040859834
2016-07-27;0.42750627109610967
2016-08-12;0.39974201456741887
2016-08-28;0.3770310001776514
2016-09-13;0.36898537928584135
2016-09-29;0.35740547166459413
2016-10-15;0.34907257061645064
2016-10-31;0.35281767945984366
2016-11-16;0.3357414356787491
2016-12-02;0.3369469094138545
2016-12-18;0.45548545293072834
2017-01-01;0.4663347192608385
2017-01-17;0.458231289978678
2017-02-02;0.42756219577189575
2017-02-18;0.650800923787529
2017-03-06;0.7259671877775804
2017-03-22;0.7834682359211228
2017-04-07;0.6631710250488542
2017-04-23;0.9202436844910289
2017-05-09;0.8164876887546637
2017-05-25;0.6679809379996449
2017-06-10;0.38629269852549303
2017-06-26;0.385173121335939
2017-07-12;0.8681099307159356
2017-07-28;0.838489305382839
2017-08-13;0.7912429028246579
2017-08-29;0.6639113874578079
2017-09-14;0.5656198614318708
2017-09-30;0.49610781666370574
2017-10-16;0.4030149049564755
2017-11-01;0.38576888770433554
2017-11-17;0.3644784648187634
2017-12-03;0.37616014209591486
2017-12-19;0.36394433392539977
2018-01-01;0.3681243603411514
2018-01-17;0.664025515280739
2018-02-02;0.7175837626576659
2018-02-18;0.8173164505240719
2018-03-06;0.8112395985077279
2018-03-22;0.6611952211760528
2018-04-07;0.316486232012791
2018-04-23;0.8360782909930718
2018-05-09;0.8179788417125601
2018-05-25;0.7834783620536508
2018-06-10;0.6712003197726062
2018-06-26;0.49426555338426015
2018-07-12;0.5058104281399894
2018-07-28;0.46053277669213016
2018-08-13;0.4073388701367917
2018-08-29;0.3937666015278026
2018-09-14;0.3887125066619294
2018-09-30;0.37071453188843506
2018-10-16;0.3466099129507907
2018-11-01;0.3540015458422175
2018-11-17;0.3643074626865673
2018-12-03;0.7036667317939609
2018-12-19;0.7863176198934286
2019-01-01;0.7078213219616206
2019-01-17;0.7702067697228147
2019-02-02;0.7556503464203232
2019-02-18;0.739432723396696
2019-03-06;0.7130145674187247
2019-03-22;0.775761094332919
2019-04-07;0.8185831053473086
2019-04-23;0.8697393853259906
2019-05-09;0.8478699236098775
2019-05-25;0.836227571504708
2019-06-10;0.833144999111743
2019-06-26;0.8223750932670102
2019-07-12;0.7998394563865697
2019-07-28;0.6920360987742052
2019-08-13;0.6382786640611122
2019-08-29;0.5063770474329365
2019-09-14;0.46535615562266835
2019-09-30;0.4266507017232192
2019-10-16;0.4020263101794282
2019-11-01;0.3836372423596304
2019-11-17;0.48961565387348976
2019-12-03;0.5689452930728245
2019-12-19;0.5891115275310838
2020-01-01;0.6046008528784651
2020-01-17;0.7446957711442788
2020-02-02;0.8429675430804764
2020-02-18;0.7844313910108368
2020-03-05;0.6632367383194174
2020-03-21;0.8827541126310182
2020-04-06;0.8545581275537398
2020-04-22;0.8674157221531358
2020-05-08;0.883614940486765
2020-05-24;0.8648135015100372
2020-06-09;0.5660527091845801
2020-06-25;0.8654174986676144
2020-07-11;0.825861929294724
2020-07-27;0.7121071593533487
2020-08-12;0.6399241961271984
2020-08-28;0.5151047432936579
2020-09-13;0.47298557470243396
2020-09-29;0.4735661218688933
2020-10-15;0.42739710376687984
2020-10-31;0.5865644811656006
2020-11-16;0.5913748756218906
2020-12-02;0.608725843694494
2020-12-18;0.7264819360568388
2021-01-01;0.5531273454157782
2021-01-17;0.713689356787491
